country,year,parent_company,empty,hdpe,ldpe,o,pet,pp,ps,pvc,grand_total,num_events,volunteers,iso_code
Nigeria,2020,Leaveary Dynamic Resources Ltd,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,18,2099.0,NGA
Nigeria,2020,Les SociâˆšÂ©tâˆšÂ©s Anonymes des Brasseries du Cameroun,0.0,0.0,8.0,0.0,70.0,0.0,0.0,0.0,78.0,18,2099.0,NGA
Nigeria,2020,Luigard Company,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,18,2099.0,NGA
Nigeria,2020,Mac Mary Venture,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,18,2099.0,NGA
Nigeria,2020,Mahendra Food Products,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,18,2099.0,NGA
Nigeria,2020,Malyn,0.0,0.0,278.0,0.0,0.0,0.0,0.0,0.0,278.0,18,2099.0,NGA
Nigeria,2020,Masifi Industry Ltd,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,18,2099.0,NGA
Nigeria,2020,Master Chef,0.0,0.0,7.0,1135.0,0.0,0.0,0.0,0.0,1142.0,18,2099.0,NGA
Nigeria,2020,Mc Vite,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Meso Pvt Ltd,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18,2099.0,NGA
Nigeria,2020,Metrock Enterprise,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,18,2099.0,NGA
Nigeria,2020,Metrock Interprice,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Mexupad Industries Limited,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0,18,2099.0,NGA
Nigeria,2020,MFID AKA Nig Ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,MIFID AKA Nig,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,85.0,18,2099.0,NGA
Nigeria,2020,MIFID aka Nig. Ltd,0.0,0.0,164.0,0.0,4.0,0.0,0.0,0.0,168.0,18,2099.0,NGA
Nigeria,2020,Mikenzo Concept,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,93.0,18,2099.0,NGA
Nigeria,2020,Mondelez International,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,18,2099.0,NGA
Nigeria,2020,Morial Couseding Centre,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,18,2099.0,NGA
Nigeria,2020,Mr Fruit Foods and Beverages Ltd,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,18,2099.0,NGA
Nigeria,2020,Mr. Chef,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,18,2099.0,NGA
Nigeria,2020,Mudet Nig. Ltd,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,18,2099.0,NGA
Nigeria,2020,Multipro Consumer Product,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,18,2099.0,NGA
Nigeria,2020,Multipro Consumer Products Ltd,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,18,2099.0,NGA
Nigeria,2020,Multisheen Costmetics,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Munachi Venture,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,89.0,18,2099.0,NGA
Nigeria,2020,Nasco Food Ltd,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,18,2099.0,NGA
Nigeria,2020,Nataco Company Ltd.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Natural Prime Source Nig. Ltd,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,18,2099.0,NGA
Nigeria,2020,NENNBCO,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0,18,2099.0,NGA
Nigeria,2020,Nestle,0.0,9.0,111.0,194.0,79.0,1.0,2.0,0.0,396.0,18,2099.0,NGA
Nigeria,2020,New base World Class Resources Ltd,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,New Bass World Class Resources,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,18,2099.0,NGA
Nigeria,2020,Nexage Industries,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,18,2099.0,NGA
Nigeria,2020,Nig. Straight Top-Put Ltd,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,18,2099.0,NGA
Nigeria,2020,Niger,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,44.0,18,2099.0,NGA
Nigeria,2020,Niger Beverages,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,18,2099.0,NGA
Nigeria,2020,Niger Biscuit Co. Ltd,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,18,2099.0,NGA
Nigeria,2020,Niger Biscuits Co.,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,89.0,18,2099.0,NGA
Nigeria,2020,Niger Biscuits Co. Ltd,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,45.0,18,2099.0,NGA
Nigeria,2020,Niger Food Ltd,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,18,2099.0,NGA
Nigeria,2020,Nigeria Bottled Company,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,18,2099.0,NGA
Nigeria,2020,Nigeria Breweries,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Nigeria Breweries Plc,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,18,2099.0,NGA
Nigeria,2020,Nigeria Distilleries Ltd,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,18,2099.0,NGA
Nigeria,2020,Nigerian Breweries,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,44.0,18,2099.0,NGA
Nigeria,2020,Nigerian Breweries Plc,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,18,2099.0,NGA
Nigeria,2020,Nigerian Breweries PLCÂ ,0.0,2.0,0.0,0.0,39.0,0.0,0.0,0.0,41.0,18,2099.0,NGA
Nigeria,2020,Niklay's Conventionary,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Nutri Food and Beverages,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,18,2099.0,NGA
Nigeria,2020,Oando Marketing PLC,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18,2099.0,NGA
Nigeria,2020,OK Food,0.0,0.0,133.0,29.0,0.0,0.0,0.0,0.0,162.0,18,2099.0,NGA
Nigeria,2020,Ok Food Ltd,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,18,2099.0,NGA
Nigeria,2020,Ok Foods,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,101.0,18,2099.0,NGA
Nigeria,2020,"Ok Foods, Inc.",0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,39.0,18,2099.0,NGA
Nigeria,2020,Ok Sweet,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,18,2099.0,NGA
Nigeria,2020,Okey Nwa Worldwide Ltd,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,18,2099.0,NGA
Nigeria,2020,Olam Agro India Ltd,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,18,2099.0,NGA
Nigeria,2020,Olam international,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,18,2099.0,NGA
Nigeria,2020,Orange Group Nig. Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Over Flow Concept,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,18,2099.0,NGA
Nigeria,2020,OWK Global Nig. Ltd,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,78.0,18,2099.0,NGA
Nigeria,2020,"Oxford Industries, Inc.",0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,49.0,18,2099.0,NGA
Nigeria,2020,Oyoyo Petroleum Resources Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Ozarka Premium Water Ltd,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,57.0,18,2099.0,NGA
Nigeria,2020,Ozone foods and Beverage,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,P1-Paddy Food,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,18,2099.0,NGA
Nigeria,2020,P1-Paddy Foods,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,44.0,18,2099.0,NGA
